Part Number;Configuration;SingleSupplyMin.;SingleSupplyMax.;DualSupplyMin.;DualSupplyMax.;On-Resistance(Ω);Is(off)Max.;tonMax.;QINJTyp.;XTALK&OIRR;Package;CS(on)(pF);CS(off)(pF);-3 dBBandwidth(MHz);Image path;Datasheet part;3d model part
DG9421E;SPST x 1, NC;3;16;3;8;1.7;100;36;19;-58;TSOP-6;68;34;179;75411;Datasheet/analog-switches/DG9421E/DG9421E.pdf;None
DG9422E;SPST x 1, NO;3;16;3;8;1.7;100;36;19;-58;TSOP-6;68;34;179;75411;Datasheet/analog-switches/DG9422E/DG9422E.pdf;None
DG9424E;SPST x 4, NO;3;16;3;8;1.6;1;51;38;-56;TSSOP-16;89;37;;75770;Datasheet/analog-switches/DG9424E/DG9424E.pdf;None
DG9424E;SPST x 4, NO;3;16;3;8;1.6;1;51;38;-56;QFN-16 4 x 4;89;37;;75770;Datasheet/analog-switches/DG9424E/DG9424E.pdf;None
DG9425E;SPST x 4, NC;3;16;3;8;1.6;1;51;38;-56;TSSOP-16;89;37;;75770;Datasheet/analog-switches/DG9425E/DG9425E.pdf;None
DG9425E;SPST x 4, NC;3;16;3;8;1.6;1;51;38;-56;QFN-16 4 x 4;89;37;;75770;Datasheet/analog-switches/DG9425E/DG9425E.pdf;None
DG9426E;SPST x 4, comp;3;16;3;8;1.6;1;51;38;-56;TSSOP-16;89;37;;75770;Datasheet/analog-switches/DG9426E/DG9426E.pdf;None
DG9426E;SPST x 4, comp;3;16;3;8;1.6;1;51;38;-56;QFN-16 4 x 4;89;37;;75770;Datasheet/analog-switches/DG9426E/DG9426E.pdf;None
DG9431E;SPDT x 1;0;6;3;5;17;5;120;-0.28;-80;TSOP-6;7.8;3.8;;76459;Datasheet/analog-switches/DG9431E/DG9431E.pdf;None
DG9431E;SPDT x 1;0;6;3;5;17;5;120;-0.28;-80;SO-8 (Narrow) AS;7.8;3.8;;76459;Datasheet/analog-switches/DG9431E/DG9431E.pdf;None
DG9454E;2:1 x 3;2.7;13.2;;;85;1;130;5.84;-85;miniQFN-16 (0.55mm);;3.1;356;67172;Datasheet/analog-switches/DG9454E/DG9454E.pdf;None
DGQ2788A;DPDT x 2;1.8;5.5;;;0.37;0.5;50000;-245;-61;miniQFN-16 (0.55mm);26;14.5;338;75683;Datasheet/analog-switches/DGQ2788A/DGQ2788A.pdf;None
