Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
VLDTG1232G;SMD dome lens;True green;515;525;541;7100;16000;;20;;;;;2.9;3.4;9;Power;80003;Datasheet/leds/VLDTG1232G\VLDTG1232G.pdf;Datasheet/leds/VLDTG1232G\VLDTG1232G.zip
VLDTG1232R;SMD dome lens;True green;515;525;541;7100;16000;;20;;;;;2.9;3.4;9;Power;80003;Datasheet/leds/VLDTG1232R\VLDTG1232R.pdf;Datasheet/leds/VLDTG1232R\VLDTG1232R.zip
VLDY1235G;SMD dome lens;Yellow;583;589;595;9000;18000;35500;50;;;;;2.3;2.7;11;Power;84280;Datasheet/leds/VLDY1235G\VLDY1235G.pdf;Datasheet/leds/VLDY1235G\VLDY1235G.zip
VLDY1235R;SMD dome lens;Yellow;583;589;595;9000;18000;35500;50;;;;;2.3;2.7;11;Power;84280;Datasheet/leds/VLDY1235R\VLDY1235R.pdf;Datasheet/leds/VLDY1235R\VLDY1235R.zip
VLDY1535G;SMD dome lens;Yellow;583;589;595;4500;8000;14000;50;;;;;2.3;2.7;22;Power;84876;Datasheet/leds/VLDY1535G\VLDY1535G.pdf;Datasheet/leds/VLDY1535G\VLDY1535G.zip
VLDY1535R;SMD dome lens;Yellow;583;589;595;4500;8000;14000;50;;;;;2.3;2.7;22;Power;84876;Datasheet/leds/VLDY1535R\VLDY1535R.pdf;Datasheet/leds/VLDY1535R\VLDY1535R.zip
VLME23Q2T1;SMD MiniLED;Yellow;581;588;594;90;170;355;20;;;;;2;2.6;60;Power;81681;Datasheet/leds/VLME23Q2T1\VLME23Q2T1.pdf;Datasheet/leds/VLME23Q2T1\VLME23Q2T1.zip
VLMF2300;SMD MiniLED;Soft orange;598;605;611;56;112;;20;;;;;2.0;2.6;60;Power;81219;Datasheet/leds/VLMF2300\VLMF2300.pdf;Datasheet/leds/VLMF2300\VLMF2300.zip
VLMF23Q2S1;SMD MiniLED;Soft orange;598;605;611;90;180;224;20;;;;;2;2.6;60;Power;81681;Datasheet/leds/VLMF23Q2S1\VLMF23Q2S1.pdf;Datasheet/leds/VLMF23Q2S1\VLMF23Q2S1.zip
VLMK2300;SMD MiniLED;Super red;;630;;35.5;90;;20;;;;;1.9;2.6;60;Power;81219;Datasheet/leds/VLMK2300\VLMK2300.pdf;Datasheet/leds/VLMK2300\VLMK2300.zip
