Series;Product Image;Configuration;Package;Ch;VDS(V);VGS(V);RDS(on)@1.2V(Ω);RDS(on)1.5V(Ω);RDS(on)@1.8V(Ω);RDS(on)@2.5V(Ω);RDS(on)@3V(Ω);RDS(on)@4.5V(Ω);RDS(on)@6V(Ω);RDS(on)@7.5V(Ω);RDS(on)@10V(Ω);Qg@4.5V(nC);Qg@10V(nC);Qgs(nC);Qgd(nC);IDMax.(A);PDMax.(W);VGS(th)Min.(V);RgTyp.(Ω);Image path;Datasheet part;3d model part
SiR510DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.0042;0.0036;;54;23.3;3;126;104;2;1.15;image/mosfets/79230.png;Datasheet/mosfets/SiR510DP/SiR510DP.pdf;Datasheet/mosfets/SiR510DP/SiR510DP.zip
SiR5110DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.016;0.0125;;12.8;4.9;1.4;47.6;59.5;2;1;image/mosfets/79345.png;Datasheet/mosfets/SiR5110DP/SiR5110DP.pdf;None
SiR5112DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.0185;0.0149;;10.6;4.5;0.92;42.6;56.8;2;1;image/mosfets/75172.png;Datasheet/mosfets/SiR5112DP/SiR5112DP.pdf;None
SiR512DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.0051;0.0045;;41;17.9;2.3;100;96.2;2;1.05;image/mosfets/75897.png;Datasheet/mosfets/SiR512DP/SiR512DP.pdf;None
SiR514DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.007;0.0058;;31;12.4;1.7;84.8;83.3;2;1.05;image/mosfets/75341.png;Datasheet/mosfets/SiR514DP/SiR514DP.pdf;None
SiR516DP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;;;0.009;0.008;;23.6;10.1;1.6;63.7;71.4;2;0.95;image/mosfets/79280.png;Datasheet/mosfets/SiR516DP/SiR516DP.pdf;None
SiR5211DP;Enlarge;Single;PowerPAK SO-8;P;-20;12;;;;0.0062;;0.004;;;0.0032;48;105;11;11;-105;56.8;-0.5;2.5;image/mosfets/75656.png;Datasheet/mosfets/SiR5211DP/SiR5211DP.pdf;None
SiR5607DP;Enlarge;Single;PowerPAK SO-8;P;-60;20;;;;;;0.012;;;0.007;34.8;74;18;10.1;-90.9;104;-1.4;1.4;image/mosfets/66834.png;Datasheet/mosfets/SiR5607DP/SiR5607DP.pdf;None
SiR5623DP;Enlarge;Single;PowerPAK SO-8;P;-60;20;;;;;;0.046;;;0.024;10.1;21.8;6.4;2.7;-37.1;59.5;-1.4;1;image/mosfets/79563.png;Datasheet/mosfets/SiR5623DP/SiR5623DP.pdf;None
SiR5708DP;Enlarge;Single;PowerPAK SO-8;N;150;20;;;;;;;;0.027;0.023;;12.8;6;1.4;33.8;65.7;2;1.25;image/mosfets/75900.png;Datasheet/mosfets/SiR5708DP/SiR5708DP.pdf;None
SiR570DP;Enlarge;Single;PowerPAK SO-8;N;150;20;;;;;;;;0.0085;0.0079;;46.9;18.1;4.2;77.4;104;2;1.1;image/mosfets/79568.png;Datasheet/mosfets/SiR570DP/SiR570DP.pdf;None
SiR5710DP;Enlarge;Single;PowerPAK SO-8;N;150;20;;;;;;;;0.037;0.0315;;10;5;1.15;26.8;56.8;2;1.4;image/mosfets/79993.png;Datasheet/mosfets/SiR5710DP/SiR5710DP.pdf;None
SiR5712DP;Enlarge;Single;PowerPAK SO-8;N;150;20;;;;;;;;0.0624;0.0555;;7.5;3.4;1.2;18;40;2;0.9;image/mosfets/76879.png;Datasheet/mosfets/SiR5712DP/SiR5712DP.pdf;None
SiR572DP;Enlarge;Single;PowerPAK SO-8;N;150;20;;;;;;;;0.0115;0.0108;;35.9;12.7;3.8;59.7;92.5;2;1.05;image/mosfets/62083.png;Datasheet/mosfets/SiR572DP/SiR572DP.pdf;None
SiR574DP;Enlarge;Single;PowerPAK SO-8;N;150;20;;;;;;;;0.0143;0.0135;;31.5;11.6;3.7;48.1;78;2;1;image/mosfets/76822.png;Datasheet/mosfets/SiR574DP/SiR574DP.pdf;None
SiR576DP;Enlarge;Single;PowerPAK SO-8;N;150;20;;;;;;;;0.017;0.016;;25.2;9.1;2.8;42.2;71.4;2;1;image/mosfets/75685.png;Datasheet/mosfets/SiR576DP/SiR576DP.pdf;None
SiR578DP;Enlarge;Single;PowerPAK SO-8;N;150;20;;;;;;;;0.01;0.0088;;32.5;15.3;3.1;70.2;104;2;1.35;image/mosfets/75708.png;Datasheet/mosfets/SiR578DP/SiR578DP.pdf;None
SiR5808DP;Enlarge;Single;PowerPAK SO-8;N;80;20;;;;;;;;0.011;0.00735;;15.6;6.7;1.5;66.8;65.7;2;1;image/mosfets/62084.png;Datasheet/mosfets/SiR5808DP/SiR5808DP.pdf;None
SiR580DP;Enlarge;Single;PowerPAK SO-8;N;80;20;;;;;;;;0.0032;0.0027;;50.6;22;3.9;146;104;2;1.1;image/mosfets/75444.png;Datasheet/mosfets/SiR580DP/SiR580DP.pdf;None
SiR5810DP;Enlarge;Single;PowerPAK SO-8;N;80;20;;;;;;;;0.0157;0.01;;12.2;5.8;1.5;53.3;56.8;2;1.2;image/mosfets/76291.png;Datasheet/mosfets/SiR5810DP/SiR5810DP.pdf;None
SiR5812DP;Enlarge;Single;PowerPAK SO-8;N;80;20;;;;;;;;0.02;0.0135;;10;5;1;45.3;50;2;1.05;image/mosfets/77029.png;Datasheet/mosfets/SiR5812DP/SiR5812DP.pdf;None
