Part Number;Product Image;Zero or Non-zero crossing;Package;Trigger Current IFTMax.(mA);Blocking Voltage VDRM(V);On-state Current(mA);Static dv / dt;Isolation Voltage VISOVRMS;Ambient Temperature Range(°C);Creepage Min.(mm);Working Voltage VIORM(Vpeak);Safety Standard;Image path;Datasheet part;3d model part
VOT8024AM;Enlarge;Zero;SOP-4, 180° orientation;5;800;100;1000;3750;-55 to +110;5;565;UL, cUL, VDE;image/optocouplers/84909.png;Datasheet/optocouplers/opto-triac/VOT8024AM/VOT8024AM.pdf;Datasheet/optocouplers/opto-triac/VOT8024AM/VOT8024AM.zip
VOT8025AB, VOT8025AD, VOT8025AG;Enlarge;Zero;DIP-6;5;800;100;1000;5300;-40 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84924.png;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.pdf;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.zip
VOT8025AB, VOT8025AD, VOT8025AG;Enlarge;Zero;DIP-6, 400 mil;5;800;100;1000;5300;-40 to +110;8;1140;UL, cUL, VDE, CQC;image/optocouplers/84924.png;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.pdf;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.zip
VOT8025AB, VOT8025AD, VOT8025AG;Enlarge;Zero;SMD-6;5;800;100;1000;5300;-40 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84924.png;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.pdf;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.zip
VOT8025AB, VOT8025AD, VOT8025AG;Enlarge;Zero;SMD-6, 90° orientation;5;800;100;1000;5300;-40 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84924.png;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.pdf;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.zip
VOT8025AB, VOT8025AD, VOT8025AG;Enlarge;Zero;SMD-6, 180° orientation;5;800;100;1000;5300;-40 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84924.png;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.pdf;Datasheet/optocouplers/opto-triac/VOT8025AB, VOT8025AD, VOT8025AG/VOT8025AB, VOT8025AD, VOT8025AG.zip
VOT8026AB, VOT8026AD, VOT8026AG;Enlarge;Zero;DIP-6;5;800;100;1000;5300;-40 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84925.png;Datasheet/optocouplers/opto-triac/VOT8026AB, VOT8026AD, VOT8026AG/VOT8026AB, VOT8026AD, VOT8026AG.pdf;Datasheet/optocouplers/opto-triac/VOT8026AB, VOT8026AD, VOT8026AG/VOT8026AB, VOT8026AD, VOT8026AG.zip
VOT8026AB, VOT8026AD, VOT8026AG;Enlarge;Zero;DIP-6, 400 mil;5;800;100;1000;5300;-40 to +110;8;1140;UL, cUL, VDE, CQC;image/optocouplers/84925.png;Datasheet/optocouplers/opto-triac/VOT8026AB, VOT8026AD, VOT8026AG/VOT8026AB, VOT8026AD, VOT8026AG.pdf;Datasheet/optocouplers/opto-triac/VOT8026AB, VOT8026AD, VOT8026AG/VOT8026AB, VOT8026AD, VOT8026AG.zip
VOT8026AB, VOT8026AD, VOT8026AG;Enlarge;Zero;SMD-6;5;800;100;1000;5300;-40 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84925.png;Datasheet/optocouplers/opto-triac/VOT8026AB, VOT8026AD, VOT8026AG/VOT8026AB, VOT8026AD, VOT8026AG.pdf;Datasheet/optocouplers/opto-triac/VOT8026AB, VOT8026AD, VOT8026AG/VOT8026AB, VOT8026AD, VOT8026AG.zip
VOT8026AB, VOT8026AD, VOT8026AG;Enlarge;Zero;SMD-6, 180° orientation;5;800;100;1000;5300;-40 to +110;7;890;UL, cUL, VDE, CQC;image/optocouplers/84925.png;Datasheet/optocouplers/opto-triac/VOT8026AB, VOT8026AD, VOT8026AG/VOT8026AB, VOT8026AD, VOT8026AG.pdf;Datasheet/optocouplers/opto-triac/VOT8026AB, VOT8026AD, VOT8026AG/VOT8026AB, VOT8026AD, VOT8026AG.zip
